rtt	avg	min	max	stddev
10.0	4306.34	4006.12	4677.66	189.29
15.0	4299.56	4031.98	4590.23	147.41
20.0	4275.57	3994.16	4531.74	143.99
25.0	4303.44	4061.0	4677.92	155.84
30.0	4267.89	3979.57	4576.09	143.17
35.0	4287.57	4087.81	4559.24	146.22
40.0	4248.86	4099.02	4486.67	113.94
45.0	4290.98	4070.34	4538.73	122.63
50.0	4323.34	4052.91	4525.74	111.23
55.0	4285.66	4131.41	4635.14	117.72
60.0	4335.66	4093.54	4679.28	122.38
65.0	4297.3	3917.51	4549.45	161.92
70.0	4305.26	4048.3	4497.79	124.39
75.0	4298.47	4033.02	4642.48	151.05
80.0	4276.68	3974.84	4621.81	160.28
85.0	4273.82	3976.64	4472.87	134.04
90.0	4291.64	4069.72	4529.73	120.28
95.0	4303.14	4040.48	4654.83	165.93
100.0	4290.33	4020.47	4504.8	120.26
105.0	4279.56	3979.11	4521.81	124.12
110.0	4298.2	4033.03	4557.0	146.66
115.0	4280.37	3922.6	4517.89	158.87
120.0	4323.33	4109.57	4553.34	109.33
125.0	4323.2	4136.69	4656.35	115.98
130.0	4301.55	4028.71	4659.06	144.08
135.0	4280.78	4009.4	4513.02	142.56
140.0	4307.32	4115.68	4511.28	108.97
145.0	4311.63	4087.08	4528.71	121.14
150.0	4295.27	4028.31	4522.83	153.99
155.0	4280.93	4022.04	4546.55	139.11
160.0	4314.15	4003.83	4587.31	152.12
165.0	4314.7	4008.49	4523.39	158.08
170.0	4298.86	3997.57	4459.47	116.32
175.0	4309.44	4072.95	4528.23	132.82
180.0	4318.24	4025.01	4642.0	165.48
185.0	4314.88	4051.35	4555.55	144.74
190.0	4302.01	3960.6	4682.72	165.14
195.0	4329.91	4025.14	4516.37	118.74
200.0	4314.71	3958.61	4595.55	157.82
205.0	4276.02	3976.2	4623.33	139.09
210.0	4304.32	4028.83	4566.26	168.43
215.0	4305.02	3950.27	4627.45	186.52
220.0	4324.14	3994.85	4619.3	187.03
225.0	4306.47	4061.09	4465.88	116.36
230.0	4313.89	4033.67	4654.77	140.47
235.0	4329.02	3947.8	4662.47	176.68
240.0	4314.47	4028.0	4567.58	163.42
245.0	4323.91	4004.35	4648.45	194.87
250.0	4297.87	4061.53	4558.46	164.49
255.0	4326.29	3894.31	4739.61	238.68
260.0	4357.01	4103.67	4687.47	155.84
265.0	4321.7	3933.95	4806.06	188.95
270.0	4357.02	4008.54	4655.47	152.11
275.0	4305.05	3964.42	4713.21	189.25
280.0	4336.97	3999.92	4742.31	168.69
285.0	4327.67	4105.42	4769.94	173.79
290.0	4317.99	4030.63	4672.03	179.02
295.0	4354.05	4106.09	4660.15	188.2
300.0	4289.1	3956.29	4556.08	158.59
