rtt	avg	min	max	stddev
10.0	4270.85	3954.14	4628.24	281.49
15.0	4324.02	4095.38	4557.88	193.33
20.0	4345.5	4234.99	4387.68	73.79
25.0	4416.29	4079.78	4818.46	304.29
30.0	4367.22	4279.06	4427.21	62.64
35.0	4444.68	4301.98	4640.83	145.81
40.0	4428.03	4241.35	4507.74	125.11
45.0	4392.37	4183.32	4630.45	183.32
50.0	4338.74	4144.07	4421.82	130.42
55.0	4333.03	4233.52	4415.05	76.19
60.0	4292.62	4169.25	4399.29	113.56
65.0	4437.14	4299.28	4555.96	130.96
70.0	4496.79	4376.22	4679.33	140.34
75.0	4414.4	4335.49	4542.62	98.98
80.0	4274.65	4109.7	4413.97	130.3
85.0	4485.16	4323.43	4675.24	144.89
90.0	4281.61	4160.71	4499.87	149.92
95.0	4277.04	4194.13	4351.34	75.36
100.0	4357.31	4253.36	4582.23	154.03
105.0	4386.16	4287.22	4490.8	102.07
110.0	4312.48	4190.68	4462.07	115.05
115.0	4329.0	4062.06	4544.93	201.82
120.0	4382.13	4037.35	4749.32	291.66
125.0	4315.16	4087.93	4454.7	165.54
130.0	4422.45	4335.63	4499.42	79.85
135.0	4349.36	4192.72	4519.92	134.96
140.0	4374.22	4337.28	4436.13	42.92
145.0	4423.82	4356.07	4476.63	57.42
150.0	4507.14	4323.04	4747.33	176.22
155.0	4338.14	4192.63	4498.45	149.28
160.0	4254.45	4084.83	4526.19	207.39
165.0	4393.61	4218.33	4710.85	231.39
170.0	4344.82	4219.6	4557.69	147.54
175.0	4362.89	4238.92	4450.63	89.1
180.0	4468.82	4395.19	4524.36	65.24
185.0	4270.57	4110.7	4471.98	149.58
190.0	4412.11	4290.95	4573.95	126.51
195.0	4422.14	4348.62	4506.32	66.33
200.0	4366.31	4294.05	4456.71	73.46
205.0	4334.22	4183.42	4511.3	163.46
210.0	4274.63	4093.3	4542.55	191.3
215.0	4440.47	4290.34	4630.5	140.81
220.0	4215.18	4026.89	4372.79	142.74
225.0	4275.79	4021.72	4522.3	218.81
230.0	4288.14	4110.6	4574.29	222.01
235.0	4408.27	4151.06	4607.29	202.02
240.0	4373.65	4169.1	4542.86	154.15
245.0	4387.68	4177.37	4625.11	189.85
250.0	4392.24	4080.99	4632.52	229.04
255.0	4524.02	4268.5	4723.18	203.67
260.0	4386.3	4248.19	4610.53	156.59
265.0	4326.49	4235.26	4395.95	75.8
270.0	4345.18	4074.38	4529.3	209.03
275.0	4274.72	4056.68	4600.28	239.62
280.0	4429.01	4127.23	4647.06	254.32
285.0	4304.31	3805.25	4731.52	380.76
290.0	4309.85	4033.64	4594.39	284.39
295.0	4322.44	4059.18	4495.12	209.71
300.0	4496.13	4341.98	4613.26	124.81
