rtt	avg	min	max	stddev
10.0	2609.48	2560.36	2676.29	56.05
15.0	2605.83	2561.16	2698.08	53.1
20.0	2586.08	2531.15	2651.1	51.07
25.0	2590.52	2568.48	2620.14	22.78
30.0	2590.65	2514.64	2661.16	63.6
35.0	2610.94	2577.45	2671.41	37.04
40.0	2615.06	2538.61	2695.27	71.54
45.0	2648.94	2599.47	2723.27	51.77
50.0	2566.39	2515.2	2614.39	36.05
55.0	2649.73	2596.71	2739.49	57.76
60.0	2600.57	2537.89	2677.06	58.08
65.0	2652.21	2619.74	2717.44	39.13
70.0	2610.68	2528.05	2649.27	51.91
75.0	2632.56	2560.12	2681.86	49.19
80.0	2648.03	2612.14	2712.11	41.48
85.0	2605.92	2503.39	2661.91	62.02
90.0	2611.36	2535.86	2684.05	70.65
95.0	2658.67	2532.82	2761.91	85.08
100.0	2597.61	2551.91	2664.67	45.07
105.0	2652.71	2587.54	2744.91	61.22
110.0	2619.08	2565.86	2756.84	81.03
115.0	2611.17	2561.44	2660.34	45.44
120.0	2598.14	2565.11	2641.23	30.62
125.0	2683.98	2575.68	2813.9	97.02
130.0	2649.1	2574.54	2750.96	92.96
135.0	2631.59	2498.62	2732.02	101.59
140.0	2688.18	2664.52	2716.93	19.17
145.0	2621.3	2566.83	2663.27	40.46
150.0	2616.91	2522.81	2774.96	96.62
155.0	2633.28	2534.47	2708.25	62.88
160.0	2646.38	2560.44	2697.16	63.54
165.0	2653.19	2464.58	2863.99	170.56
170.0	2652.69	2525.83	2756.03	95.43
175.0	2581.55	2488.56	2661.94	77.25
180.0	2586.91	2512.27	2717.64	80.01
185.0	2644.52	2592.65	2710.87	49.81
190.0	2657.0	2554.39	2733.13	67.86
195.0	2633.77	2488.61	2731.49	93.22
200.0	2580.57	2515.78	2659.14	61.22
205.0	2611.74	2517.04	2705.85	82.53
210.0	2618.68	2545.05	2709.52	68.5
215.0	2625.42	2563.92	2661.15	44.34
220.0	2653.89	2606.77	2740.69	54.61
225.0	2674.45	2581.6	2750.48	63.95
230.0	2640.63	2524.56	2770.67	91.05
235.0	2633.75	2495.94	2718.19	83.38
240.0	2618.11	2535.16	2673.16	66.46
245.0	2677.97	2560.51	2788.09	100.25
250.0	2662.8	2522.02	2836.45	133.07
255.0	2691.94	2586.14	3027.3	188.68
260.0	2673.26	2567.62	2764.01	85.19
265.0	2674.9	2606.97	2808.27	78.37
270.0	2679.22	2581.1	2816.36	93.31
275.0	2624.34	2519.86	2723.46	75.9
280.0	2679.51	2582.48	2761.8	78.71
285.0	2693.47	2566.47	2793.96	85.46
290.0	2651.89	2589.19	2728.48	52.45
295.0	2632.61	2542.36	2751.92	80.16
300.0	2703.7	2614.5	2907.14	117.37
