rtt	avg	min	max	stddev
10.0	4989.53	4649.49	5439.23	300.31
15.0	4993.81	4735.26	5182.17	167.6
20.0	4923.07	4696.08	5141.11	207.34
25.0	5116.04	4689.55	5381.96	258.27
30.0	4975.22	4670.19	5174.33	197.09
35.0	4889.7	4785.65	4935.69	60.99
40.0	4934.97	4738.35	5160.15	152.51
45.0	4966.01	4769.65	5136.56	145.35
50.0	4971.69	4863.66	5062.77	98.62
55.0	4955.94	4782.97	5187.42	160.96
60.0	4892.64	4786.55	5010.25	93.09
65.0	4986.95	4764.6	5190.66	192.48
70.0	4822.13	4707.09	4903.14	83.77
75.0	4918.66	4862.06	4986.68	60.53
80.0	4940.91	4794.36	5107.02	141.64
85.0	4835.38	4629.2	4941.41	129.2
90.0	4984.83	4660.27	5151.88	199.79
95.0	4958.14	4874.83	5124.66	102.47
100.0	4982.12	4700.45	5107.17	164.26
105.0	4854.95	4778.8	4946.85	68.98
110.0	4885.57	4782.18	5121.67	139.62
115.0	4960.27	4644.43	5122.07	193.1
120.0	4946.4	4878.41	5165.86	123.29
125.0	4824.92	4675.92	5015.71	131.65
130.0	4855.45	4691.68	5058.75	172.47
135.0	4946.77	4806.84	5091.72	118.66
140.0	4753.17	4619.79	4979.45	152.77
145.0	4840.75	4526.55	4996.79	185.27
150.0	4868.74	4746.01	5030.13	108.59
155.0	5006.65	4777.6	5361.2	239.23
160.0	4923.76	4542.3	5516.96	395.63
165.0	4796.74	4687.04	4942.67	105.06
170.0	4954.77	4859.06	5076.55	85.7
175.0	4898.26	4625.22	5075.15	173.53
180.0	5030.37	4722.77	5242.22	204.92
185.0	4904.51	4769.09	5200.06	173.94
190.0	4890.67	4651.03	5176.9	190.66
195.0	5019.84	4654.06	5337.51	248.64
200.0	4820.72	4527.07	5072.36	258.45
205.0	4829.95	4508.11	5119.0	217.93
210.0	4884.03	4524.93	5275.08	283.1
215.0	4782.86	4432.38	5065.71	243.91
220.0	4970.66	4856.31	5070.21	94.5
225.0	4895.04	4610.61	5235.68	270.59
230.0	4864.76	4644.51	5106.05	200.7
235.0	4834.21	4485.59	5117.7	296.46
240.0	4960.15	4715.56	5157.21	189.76
245.0	5026.49	4876.95	5315.71	182.09
250.0	4987.79	4656.5	5260.12	299.5
255.0	4928.97	4588.29	5419.21	327.28
260.0	4850.67	4503.46	5143.27	319.2
265.0	4935.9	4616.1	5107.66	196.23
270.0	4829.7	4578.17	5125.11	221.01
275.0	4968.93	4675.99	5703.29	421.13
280.0	4865.29	4644.07	4973.09	144.39
285.0	4900.36	4653.01	5287.84	268.84
290.0	5027.52	4608.25	5347.72	274.85
295.0	4923.78	4677.93	5241.34	233.39
300.0	4771.91	4507.3	5082.11	226.13
