rtt	avg	min	max	stddev
10.0	2823.71	2704.85	2905.89	62.29
15.0	2819.42	2727.06	2905.15	54.95
20.0	2830.26	2712.43	2973.05	77.71
25.0	2824.42	2745.23	2952.55	52.98
30.0	2829.39	2683.42	2963.33	75.34
35.0	2818.23	2690.33	2949.06	83.71
40.0	2815.59	2724.36	2938.16	66.84
45.0	2805.07	2682.09	2894.5	67.65
50.0	2839.78	2739.61	3034.03	83.04
55.0	2802.41	2729.72	2914.67	62.69
60.0	2828.65	2708.41	2916.7	60.1
65.0	2807.94	2717.87	2910.41	56.93
70.0	2816.39	2692.63	3082.49	103.0
75.0	2816.02	2739.03	2899.29	45.26
80.0	2803.92	2739.84	2916.83	57.67
85.0	2825.44	2687.83	2964.1	77.8
90.0	2819.27	2660.82	2933.29	68.87
95.0	2801.98	2708.34	2961.82	71.63
100.0	2824.6	2631.26	3012.46	106.28
105.0	2807.1	2719.23	2926.35	65.34
110.0	2818.6	2693.03	2931.51	71.42
115.0	2819.16	2682.89	2911.95	75.22
120.0	2826.09	2678.15	2992.04	76.37
125.0	2797.85	2704.29	3026.18	88.48
130.0	2809.39	2676.27	2947.23	75.24
135.0	2812.01	2647.61	2966.42	84.12
140.0	2795.77	2589.77	2977.01	111.02
145.0	2823.42	2734.9	2958.66	60.17
150.0	2824.14	2716.3	3011.72	89.43
155.0	2821.44	2658.57	2942.59	70.48
160.0	2812.0	2676.71	2919.44	80.89
165.0	2810.04	2705.17	3057.27	85.85
170.0	2814.3	2711.63	2968.95	82.72
175.0	2842.3	2738.11	3066.64	84.6
180.0	2837.96	2623.11	3008.68	102.76
185.0	2822.66	2655.25	3010.24	97.48
190.0	2809.64	2636.18	2916.47	83.81
195.0	2826.98	2708.24	2977.58	82.47
200.0	2848.96	2714.3	2995.62	78.9
205.0	2844.27	2733.22	3004.4	88.92
210.0	2841.21	2676.39	3017.48	98.76
215.0	2838.87	2673.69	2947.27	73.9
220.0	2834.61	2616.8	3049.33	111.72
225.0	2816.52	2642.08	3083.19	124.22
230.0	2854.97	2677.89	3023.04	106.76
235.0	2840.89	2684.41	3005.78	109.0
240.0	2863.65	2687.48	3089.11	107.73
245.0	2836.85	2728.18	3053.79	97.03
250.0	2849.37	2710.93	3079.91	105.07
255.0	2832.33	2613.68	2985.15	104.78
260.0	2864.71	2670.31	3101.55	112.6
265.0	2863.37	2705.45	3056.14	101.9
270.0	2865.75	2667.82	3100.79	123.93
275.0	2886.81	2735.12	3013.17	90.72
280.0	2852.26	2683.13	3046.31	115.89
285.0	2891.07	2769.96	3052.56	91.07
290.0	2907.89	2740.72	3118.5	125.21
295.0	2930.97	2820.45	3144.44	90.08
300.0	2884.73	2750.03	3121.29	102.46
