rtt	avg	min	max	stddev
10.0	4504.96	4210.69	4801.43	295.83
15.0	4330.08	4286.06	4383.29	44.06
20.0	4379.73	4073.53	4709.4	280.14
25.0	4470.23	4194.6	4718.92	261.61
30.0	4458.17	4219.46	4732.07	229.65
35.0	4472.48	4351.28	4548.59	92.6
40.0	4359.85	4042.87	4656.32	253.13
45.0	4426.88	4312.25	4624.6	141.58
50.0	4377.24	4058.63	4893.78	370.4
55.0	4422.1	4161.31	4746.89	247.26
60.0	4423.57	4359.11	4496.03	71.6
65.0	4614.45	4301.35	4986.35	281.93
70.0	4504.48	4163.15	4719.58	238.69
75.0	4415.43	4064.9	4703.82	285.28
80.0	4265.54	4095.51	4385.32	127.68
85.0	4470.22	4058.93	4748.84	314.11
90.0	4494.28	4321.28	4636.86	146.31
95.0	4319.7	4090.21	4604.27	223.62
100.0	4346.08	4038.71	4760.8	320.91
105.0	4305.37	4102.38	4587.86	236.97
110.0	4255.2	4142.59	4369.23	97.89
115.0	4403.32	4155.15	4695.48	248.59
120.0	4368.32	3918.33	4952.35	437.2
125.0	4615.49	4433.49	4736.7	137.54
130.0	4385.6	4241.95	4481.39	117.0
135.0	4343.4	4092.49	4670.34	284.61
140.0	4455.96	4271.43	4657.02	209.88
145.0	4443.94	4311.93	4681.44	162.77
150.0	4467.82	4170.72	4647.3	221.54
155.0	4350.19	4104.08	4637.99	222.96
160.0	4393.57	4343.87	4450.37	57.34
165.0	4307.36	3935.04	4546.74	275.31
170.0	4485.36	4299.24	4631.94	137.76
175.0	4323.93	4071.91	4750.44	320.05
180.0	4511.95	4253.57	4700.26	218.24
185.0	4218.0	4013.32	4461.68	184.44
190.0	4111.99	3915.51	4266.54	176.58
195.0	4244.86	4163.12	4333.08	73.98
200.0	4382.95	4309.4	4493.49	82.79
205.0	4439.28	4147.7	4680.5	226.98
210.0	4417.19	4260.45	4547.74	137.43
215.0	4397.74	4189.87	4550.57	157.23
220.0	4482.42	4368.8	4569.11	100.16
225.0	4218.73	4078.82	4513.45	200.44
230.0	4319.75	4133.53	4539.92	195.07
235.0	4420.2	4274.78	4663.21	174.47
240.0	4281.91	4054.32	4532.23	227.28
245.0	4338.9	4263.36	4416.17	86.47
250.0	4439.88	4209.73	4740.01	220.47
255.0	4048.44	3931.33	4293.11	165.57
260.0	4344.54	4195.24	4473.67	115.27
265.0	4411.06	4249.38	4711.66	213.35
270.0	4236.17	4120.5	4424.69	135.91
275.0	4379.56	4098.2	4676.69	238.92
280.0	4253.87	3952.53	4435.06	226.79
285.0	4373.55	4144.24	4654.33	217.23
290.0	4338.61	4127.47	4637.72	247.07
295.0	4260.56	4094.33	4442.47	142.66
300.0	4278.26	3949.05	4578.08	317.87
