rtt	avg	min	max	stddev
10.0	2206.36	2196.19	2216.54	8.55
15.0	2201.87	2193.94	2208.33	5.77
20.0	2200.19	2194.86	2206.05	5.14
25.0	2198.71	2197.22	2201.47	1.73
30.0	2199.76	2192.79	2207.28	5.25
35.0	2203.28	2193.79	2211.93	7.83
40.0	2201.42	2190.52	2219.49	11.86
45.0	2207.11	2202.33	2212.44	4.33
50.0	2205.34	2197.68	2213.14	5.61
55.0	2206.95	2200.47	2212.24	5.35
60.0	2197.91	2191.46	2207.62	6.47
65.0	2206.33	2199.87	2216.92	6.91
70.0	2209.4	2202.78	2214.3	5.03
75.0	2204.28	2195.61	2210.3	5.55
80.0	2203.59	2199.53	2207.88	3.98
85.0	2201.56	2191.64	2215.2	8.6
90.0	2204.0	2198.92	2211.68	5.27
95.0	2202.71	2193.21	2211.02	7.81
100.0	2207.94	2195.88	2220.89	10.43
105.0	2199.03	2192.16	2209.24	6.9
110.0	2204.23	2197.48	2217.19	7.87
115.0	2203.35	2195.49	2216.35	8.44
120.0	2203.72	2199.49	2210.65	4.45
125.0	2202.44	2193.41	2211.32	7.16
130.0	2203.61	2198.46	2208.11	4.09
135.0	2198.93	2191.43	2205.56	5.38
140.0	2197.0	2193.42	2199.76	2.94
145.0	2206.37	2197.21	2220.59	9.28
150.0	2198.16	2187.35	2210.26	9.44
155.0	2202.8	2193.52	2226.92	13.82
160.0	2200.83	2197.1	2206.23	3.61
165.0	2198.17	2195.91	2201.36	2.53
170.0	2197.91	2189.69	2204.22	6.3
175.0	2207.22	2197.4	2224.32	10.61
180.0	2197.34	2187.28	2204.68	6.65
185.0	2198.52	2187.37	2216.71	11.02
190.0	2189.38	2185.75	2193.0	2.89
195.0	2197.36	2188.92	2204.62	6.07
200.0	2196.88	2185.83	2206.86	8.76
205.0	2195.86	2184.78	2208.11	8.38
210.0	2193.95	2184.03	2209.21	10.86
215.0	2197.24	2184.98	2207.88	8.39
220.0	2189.31	2183.46	2204.53	8.63
225.0	2189.22	2182.12	2194.28	5.16
230.0	2188.0	2183.6	2193.79	4.47
235.0	2190.95	2186.96	2195.96	3.23
240.0	2181.83	2178.65	2187.09	4.2
245.0	2187.67	2181.64	2192.92	4.84
250.0	2186.55	2182.36	2190.61	4.05
255.0	2184.37	2182.86	2186.43	1.29
260.0	2184.91	2182.75	2189.58	2.95
265.0	2187.81	2185.42	2191.53	2.31
270.0	2182.67	2180.14	2184.83	1.73
275.0	2187.89	2183.72	2196.96	5.55
280.0	2186.84	2179.4	2198.87	8.05
285.0	2181.98	2178.59	2186.84	3.51
290.0	2180.11	2178.6	2181.14	0.98
295.0	2180.02	2178.68	2181.5	1.12
300.0	2181.38	2178.92	2184.67	2.24
