rtt	avg	min	max	stddev
10.0	2792.07	2698.75	2873.3	52.5
15.0	2795.97	2702.45	2914.31	60.56
20.0	2796.91	2701.45	2934.39	72.13
25.0	2781.15	2637.64	2904.21	93.47
30.0	2785.96	2680.65	2838.29	44.05
35.0	2784.77	2653.02	2902.33	73.35
40.0	2797.77	2667.41	2964.43	82.82
45.0	2796.5	2629.24	2952.38	75.04
50.0	2782.24	2600.12	2945.56	76.59
55.0	2799.12	2692.39	2951.98	84.59
60.0	2792.2	2665.22	2929.93	89.16
65.0	2813.19	2709.84	2922.76	66.85
70.0	2771.92	2682.95	2903.59	63.87
75.0	2816.21	2680.75	2980.12	81.01
80.0	2782.57	2651.68	2941.73	72.7
85.0	2788.25	2667.09	2924.23	81.75
90.0	2800.41	2658.87	2891.48	66.54
95.0	2788.35	2693.26	2898.66	52.32
100.0	2803.44	2586.17	2962.82	104.28
105.0	2795.12	2637.05	2920.85	79.28
110.0	2779.77	2665.28	2935.28	81.31
115.0	2803.24	2652.28	2939.97	89.93
120.0	2787.98	2619.71	2926.94	98.54
125.0	2786.69	2711.73	2893.18	65.91
130.0	2801.3	2692.29	2897.69	61.98
135.0	2783.82	2677.89	2884.47	59.48
140.0	2786.45	2641.54	2990.3	84.91
145.0	2790.19	2652.28	2995.09	104.9
150.0	2813.18	2570.75	2938.91	95.11
155.0	2783.41	2638.29	2958.88	100.76
160.0	2786.87	2630.22	2957.72	101.87
165.0	2796.98	2570.76	2918.41	95.79
170.0	2810.31	2724.07	2988.49	80.5
175.0	2776.19	2641.63	3042.04	108.36
180.0	2765.82	2650.26	2983.19	86.38
185.0	2803.84	2633.65	2909.13	79.3
190.0	2789.5	2622.7	2940.13	103.15
195.0	2778.13	2673.21	2930.15	73.45
200.0	2794.96	2679.11	2932.5	66.21
205.0	2802.62	2641.86	3040.37	91.63
210.0	2788.2	2668.42	2922.55	80.21
215.0	2795.61	2614.94	3026.1	117.92
220.0	2797.78	2690.03	2978.01	89.31
225.0	2806.68	2700.35	2971.07	79.48
230.0	2792.08	2627.6	3049.96	119.52
235.0	2793.79	2642.22	3034.65	118.74
240.0	2777.61	2636.99	2944.17	101.73
245.0	2815.4	2668.87	2984.7	98.3
250.0	2837.39	2699.68	3026.04	98.97
255.0	2820.56	2637.0	3002.97	109.21
260.0	2855.77	2738.47	3220.41	117.79
265.0	2807.31	2625.87	3047.88	107.49
270.0	2818.04	2675.42	2947.21	83.93
275.0	2786.89	2617.82	3007.81	129.67
280.0	2840.8	2635.16	2989.94	118.34
285.0	2844.35	2694.26	3147.37	124.48
290.0	2822.79	2677.52	2938.25	82.59
295.0	2861.21	2652.91	3059.21	133.09
300.0	2843.81	2672.81	3060.76	95.79
