rtt	avg	min	max	stddev
10.0	4408.95	4158.41	4669.85	244.37
15.0	4390.44	4266.4	4571.81	124.28
20.0	4505.39	4277.66	4807.32	258.9
25.0	4611.17	4128.07	5047.39	333.49
30.0	4413.17	4367.3	4449.17	34.47
35.0	4366.8	4243.51	4551.97	122.9
40.0	4498.95	4227.97	4650.55	159.74
45.0	4451.6	4015.86	4714.08	284.53
50.0	4441.67	4080.13	4703.51	305.16
55.0	4479.14	4341.56	4767.67	176.42
60.0	4287.22	4102.2	4424.44	136.59
65.0	4430.27	4112.47	4815.59	295.96
70.0	4441.03	4166.67	4644.43	203.89
75.0	4404.66	4022.98	5045.89	401.27
80.0	4540.41	4153.38	4786.23	238.22
85.0	4473.95	4266.88	4583.4	129.28
90.0	4353.66	4205.78	4527.35	132.88
95.0	4533.29	4428.6	4608.22	68.29
100.0	4416.5	4283.81	4643.61	156.05
105.0	4348.22	4140.29	4628.57	199.08
110.0	4480.54	4286.37	4689.02	186.98
115.0	4415.99	4259.51	4606.77	152.1
120.0	4534.43	4307.01	4742.28	187.68
125.0	4306.93	4102.74	4495.43	155.55
130.0	4492.92	4335.49	4613.97	101.17
135.0	4322.24	4238.1	4402.27	67.43
140.0	4443.55	4215.24	4588.71	148.48
145.0	4458.75	4220.82	4649.5	167.17
150.0	4398.9	4176.97	4594.93	151.01
155.0	4363.39	4230.66	4489.56	106.48
160.0	4400.54	4282.94	4500.17	79.58
165.0	4380.31	4082.85	4697.61	228.58
170.0	4490.37	4301.05	4959.91	268.13
175.0	4433.77	4053.58	4667.24	228.01
180.0	4413.82	4104.32	4785.32	283.69
185.0	4565.6	4364.49	4831.41	198.96
190.0	4557.91	4309.5	4837.14	202.88
195.0	4431.97	4240.41	4577.47	168.73
200.0	4279.78	3972.57	4487.52	205.25
205.0	4611.03	4228.19	4970.53	271.3
210.0	4523.61	4351.53	4804.16	183.91
215.0	4615.11	4268.42	4861.81	235.04
220.0	4420.7	4131.32	4834.68	263.63
225.0	4618.98	4322.71	5172.76	324.98
230.0	4494.48	4220.41	4815.98	214.87
235.0	4413.6	4199.99	4615.28	159.04
240.0	4660.31	4496.28	4822.78	147.08
245.0	4547.45	4348.54	4662.46	132.55
250.0	4465.9	4197.73	5006.56	324.2
255.0	4630.51	4485.59	4762.08	112.31
260.0	4411.99	4282.89	4537.78	94.13
265.0	4481.54	4233.38	4742.13	219.97
270.0	4479.24	4192.36	4823.16	265.8
275.0	4405.68	4081.84	4749.67	268.44
280.0	4548.05	4273.05	4902.69	230.71
285.0	4749.14	4626.83	5114.23	205.43
290.0	4626.8	4313.0	4841.09	213.32
295.0	4450.83	4271.18	4699.28	166.88
300.0	4616.69	4416.24	4920.87	185.84
