rtt	avg	min	max	stddev
10.0	2183.77	2182.78	2185.11	0.88
15.0	2186.44	2185.37	2187.54	0.89
20.0	2186.66	2184.5	2192.91	3.53
25.0	2186.42	2182.0	2188.25	2.63
30.0	2181.79	2180.47	2183.2	1.3
35.0	2185.65	2183.8	2188.74	1.94
40.0	2183.91	2181.92	2187.03	1.91
45.0	2184.21	2182.14	2186.54	1.93
50.0	2186.35	2184.77	2187.94	1.27
55.0	2186.01	2182.2	2190.77	3.15
60.0	2185.5	2184.29	2187.69	1.38
65.0	2187.12	2184.43	2190.2	2.37
70.0	2187.07	2183.29	2190.54	2.79
75.0	2187.5	2183.42	2192.19	3.83
80.0	2184.9	2184.29	2186.24	0.76
85.0	2185.59	2183.8	2187.1	1.35
90.0	2186.26	2183.7	2189.75	2.3
95.0	2187.02	2184.76	2188.75	1.8
100.0	2184.31	2183.05	2186.21	1.46
105.0	2183.99	2182.16	2186.16	1.69
110.0	2186.58	2184.22	2190.05	2.25
115.0	2185.12	2183.36	2189.49	2.59
120.0	2187.08	2182.04	2192.97	4.2
125.0	2185.57	2183.37	2188.17	1.84
130.0	2190.25	2185.28	2193.53	3.49
135.0	2182.75	2179.93	2184.81	1.93
140.0	2182.61	2180.42	2183.7	1.3
145.0	2181.63	2179.22	2184.44	1.87
150.0	2184.42	2182.76	2188.29	2.23
155.0	2184.65	2180.27	2188.42	3.34
160.0	2185.95	2182.62	2192.94	4.32
165.0	2183.74	2180.12	2188.79	3.4
170.0	2182.63	2180.66	2186.5	2.27
175.0	2184.04	2181.19	2188.05	3.2
180.0	2183.88	2182.38	2189.05	2.9
185.0	2181.93	2180.48	2182.91	0.95
190.0	2189.07	2184.4	2191.96	3.33
195.0	2182.54	2179.65	2184.36	1.87
200.0	2186.98	2181.85	2191.65	4.07
205.0	2182.97	2180.44	2185.39	1.84
210.0	2185.05	2182.57	2193.22	4.58
215.0	2184.27	2181.07	2188.28	2.6
220.0	2193.41	2187.49	2207.11	7.82
225.0	2185.14	2183.17	2187.55	1.62
230.0	2186.91	2183.3	2190.96	3.3
235.0	2187.11	2178.84	2191.81	4.94
240.0	2185.8	2183.54	2187.07	1.39
245.0	2186.24	2182.39	2190.87	3.46
250.0	2183.88	2180.23	2190.95	4.69
255.0	2182.92	2180.26	2186.7	2.77
260.0	2185.04	2181.06	2191.48	4.37
265.0	2183.28	2181.11	2187.97	2.86
270.0	2187.21	2179.31	2194.47	5.45
275.0	2183.4	2178.94	2185.5	2.57
280.0	2181.08	2178.5	2183.57	2.43
285.0	2180.83	2178.59	2185.91	2.9
290.0	2180.39	2178.6	2185.87	3.09
295.0	2181.09	2178.86	2185.52	2.57
300.0	2180.06	2178.87	2181.32	0.92
