rtt	avg	min	max	stddev
10.0	2645.44	2629.8	2655.95	13.81
15.0	2601.71	2564.14	2660.01	51.19
20.0	2651.04	2537.09	2717.03	99.09
25.0	2659.57	2588.29	2737.95	75.08
30.0	2606.4	2558.77	2668.51	56.29
35.0	2661.25	2606.03	2738.08	68.62
40.0	2644.02	2630.61	2663.68	17.4
45.0	2653.35	2633.68	2672.66	19.49
50.0	2607.51	2577.67	2657.59	43.64
55.0	2599.94	2558.79	2627.03	36.23
60.0	2575.17	2533.02	2630.59	50.12
65.0	2647.64	2548.34	2709.66	86.88
70.0	2576.21	2516.6	2631.53	57.58
75.0	2654.88	2559.33	2755.92	98.41
80.0	2594.83	2532.71	2663.34	65.55
85.0	2605.38	2537.66	2663.52	63.48
90.0	2681.32	2595.98	2762.42	83.3
95.0	2680.03	2630.48	2737.61	54.01
100.0	2591.68	2517.14	2673.02	78.16
105.0	2610.11	2528.71	2695.27	83.34
110.0	2594.31	2526.1	2682.96	80.4
115.0	2610.32	2530.53	2733.03	107.86
120.0	2619.38	2579.21	2645.95	35.39
125.0	2580.5	2497.05	2696.13	103.37
130.0	2634.38	2594.59	2667.74	37.0
135.0	2625.04	2574.11	2661.78	45.53
140.0	2644.64	2550.08	2728.26	89.59
145.0	2605.99	2542.84	2660.05	59.13
150.0	2675.78	2586.88	2741.95	79.99
155.0	2591.13	2525.37	2644.95	60.68
160.0	2642.57	2533.18	2702.99	94.91
165.0	2576.11	2491.22	2662.72	85.76
170.0	2637.14	2598.48	2686.31	44.85
175.0	2581.93	2556.43	2623.29	36.14
180.0	2653.96	2525.74	2859.89	180.12
185.0	2636.42	2493.79	2734.91	126.48
190.0	2586.31	2540.28	2640.96	50.89
195.0	2606.55	2515.4	2697.69	91.15
200.0	2580.16	2573.75	2584.39	5.65
205.0	2618.26	2563.11	2712.68	82.15
210.0	2616.48	2536.41	2683.89	74.55
215.0	2604.62	2477.76	2822.37	189.44
220.0	2570.48	2489.42	2681.31	99.35
225.0	2564.1	2461.67	2692.0	117.26
230.0	2657.13	2553.02	2771.24	109.45
235.0	2619.87	2527.78	2687.7	82.68
240.0	2618.82	2558.59	2715.18	84.31
245.0	2629.31	2459.52	2809.68	175.32
250.0	2632.54	2613.62	2643.77	16.48
255.0	2625.48	2567.5	2708.85	74.01
260.0	2592.03	2583.27	2603.35	10.28
265.0	2624.05	2503.42	2770.74	135.55
270.0	2593.72	2522.46	2706.68	98.94
275.0	2585.11	2513.68	2622.37	61.88
280.0	2574.71	2493.12	2677.24	93.83
285.0	2560.93	2462.91	2630.18	87.27
290.0	2618.56	2593.78	2662.62	38.26
295.0	2593.11	2540.25	2694.88	88.15
300.0	2596.12	2575.61	2624.28	25.22
