rtt	avg	min	max	stddev
10.0	4119.5	4000.85	4212.65	107.77
15.0	4198.22	3876.06	4460.21	243.32
20.0	4259.34	4159.0	4390.89	99.82
25.0	4216.7	3877.5	4465.76	249.89
30.0	4292.6	4107.96	4374.89	125.1
35.0	4323.2	4165.86	4476.57	167.63
40.0	4428.0	4305.83	4537.71	113.25
45.0	4280.26	4090.8	4550.01	196.08
50.0	4175.9	3940.97	4317.67	163.12
55.0	4315.47	4141.32	4454.24	138.4
60.0	4198.19	3994.29	4368.13	157.42
65.0	4257.89	3989.34	4415.06	187.32
70.0	4304.76	4197.45	4487.48	127.12
75.0	4234.04	4065.15	4371.09	137.74
80.0	4331.35	4117.09	4470.41	150.64
85.0	4369.32	4306.64	4475.28	79.63
90.0	4382.94	4280.56	4497.29	91.85
95.0	4321.42	4259.84	4419.72	71.62
100.0	4381.73	4269.24	4480.1	86.99
105.0	4375.35	4063.42	4691.28	256.43
110.0	4289.73	4205.67	4356.64	63.7
115.0	4325.86	4015.41	4462.61	208.32
120.0	4255.29	4096.99	4518.87	183.0
125.0	4202.57	4146.16	4263.16	55.17
130.0	4217.44	3939.91	4553.57	255.89
135.0	4289.0	4164.23	4381.59	93.61
140.0	4358.45	4112.94	4654.49	260.06
145.0	4281.94	4117.99	4497.19	179.96
150.0	4274.04	4088.51	4543.48	193.86
155.0	4328.9	4200.46	4490.19	130.21
160.0	4300.15	4012.13	4474.4	206.36
165.0	4318.8	4151.75	4428.9	125.49
170.0	4385.35	4353.97	4451.69	45.01
175.0	4384.88	4324.97	4496.04	75.87
180.0	4335.92	4074.93	4632.91	264.3
185.0	4360.69	4155.04	4579.3	187.8
190.0	4339.02	4155.94	4526.8	154.28
195.0	4280.44	4156.33	4446.96	127.4
200.0	4220.7	3964.11	4376.38	196.56
205.0	4300.72	4109.3	4390.41	131.09
210.0	4272.12	4150.94	4460.39	146.31
215.0	4332.39	4209.64	4490.97	138.81
220.0	4319.92	4252.17	4368.9	49.52
225.0	4325.4	4175.22	4618.47	205.42
230.0	4338.15	4124.84	4635.37	226.88
235.0	4274.85	4089.44	4540.96	190.33
240.0	4218.75	3926.45	4453.47	222.15
245.0	4349.75	4191.98	4468.69	118.27
250.0	4310.69	4154.64	4509.77	167.91
255.0	4380.82	4242.88	4549.71	127.03
260.0	4294.44	4051.5	4511.88	188.57
265.0	4257.32	4063.27	4523.52	213.4
270.0	4344.1	4148.17	4435.71	131.94
275.0	4364.17	4200.28	4628.92	193.27
280.0	4203.01	4077.67	4390.09	133.29
285.0	4341.79	4118.18	4461.97	157.68
290.0	4379.2	4251.11	4607.8	161.74
295.0	4305.3	4138.07	4483.42	167.22
300.0	4323.6	3999.54	4519.94	235.08
