rtt	avg	min	max	stddev
10.0	2594.45	2570.22	2626.97	29.27
15.0	2629.1	2591.65	2695.17	57.39
20.0	2579.6	2552.87	2600.88	24.46
25.0	2571.59	2513.26	2673.41	88.49
30.0	2641.55	2575.38	2679.14	57.48
35.0	2572.09	2542.45	2618.36	40.59
40.0	2590.81	2553.58	2649.18	51.19
45.0	2574.49	2530.74	2601.88	38.29
50.0	2615.79	2473.9	2711.39	125.33
55.0	2624.95	2608.97	2653.47	24.76
60.0	2652.21	2592.03	2754.07	88.7
65.0	2582.79	2547.53	2619.15	35.82
70.0	2647.34	2560.49	2718.28	80.09
75.0	2556.09	2443.94	2638.19	100.55
80.0	2626.79	2608.04	2655.68	25.39
85.0	2620.64	2601.66	2647.12	23.64
90.0	2541.07	2512.59	2561.25	25.37
95.0	2546.77	2490.58	2582.84	49.31
100.0	2633.44	2572.82	2713.57	72.37
105.0	2605.87	2602.0	2611.19	4.76
110.0	2612.83	2540.54	2740.67	111.03
115.0	2612.7	2539.92	2684.47	72.28
120.0	2578.72	2467.43	2681.11	107.12
125.0	2612.97	2486.96	2683.92	109.42
130.0	2575.47	2555.59	2611.85	31.55
135.0	2586.76	2573.43	2603.82	15.53
140.0	2579.08	2551.07	2610.6	29.92
145.0	2609.0	2535.72	2649.38	63.58
150.0	2540.28	2506.52	2569.32	31.67
155.0	2626.69	2540.23	2795.72	146.39
160.0	2557.79	2505.04	2638.06	70.65
165.0	2629.7	2454.62	2733.37	152.48
170.0	2585.44	2523.08	2683.29	85.8
175.0	2611.95	2555.5	2718.64	92.45
180.0	2552.64	2494.49	2633.93	72.54
185.0	2564.26	2537.57	2607.91	38.11
190.0	2603.63	2534.2	2684.81	75.99
195.0	2590.03	2538.06	2627.36	46.42
200.0	2619.66	2508.73	2738.65	115.17
205.0	2592.37	2577.65	2619.87	23.84
210.0	2569.6	2546.07	2602.2	29.14
215.0	2604.54	2532.7	2668.77	68.35
220.0	2586.75	2520.15	2688.78	89.72
225.0	2626.81	2591.91	2664.76	36.52
230.0	2538.98	2498.07	2619.02	69.32
235.0	2574.43	2541.7	2616.03	37.95
240.0	2559.0	2527.34	2592.63	32.69
245.0	2562.4	2477.71	2643.52	82.96
250.0	2590.23	2495.16	2679.6	92.35
255.0	2578.65	2520.67	2627.51	54.0
260.0	2601.16	2442.88	2681.91	137.08
265.0	2586.09	2499.42	2706.88	107.86
270.0	2608.5	2502.18	2704.84	101.7
275.0	2629.89	2575.67	2691.09	58.03
280.0	2654.45	2621.1	2688.7	33.81
285.0	2662.57	2530.77	2900.36	206.34
290.0	2594.61	2577.82	2618.18	21.02
295.0	2624.71	2537.73	2706.93	84.7
300.0	2629.01	2570.6	2671.48	52.29
