rtt	avg	min	max	stddev
10.0	4355.95	3749.94	4936.44	292.79
15.0	4384.82	3904.32	4928.22	259.57
20.0	4349.52	3928.59	4809.01	255.22
25.0	4308.55	3960.15	4643.71	202.25
30.0	4349.7	3779.26	4826.06	216.28
35.0	4360.6	4046.83	4926.78	233.59
40.0	4352.19	3962.08	4808.28	241.62
45.0	4357.02	4071.87	4784.65	196.07
50.0	4361.12	4027.24	4645.64	162.98
55.0	4346.22	4148.12	4663.79	143.14
60.0	4369.78	4107.04	4704.14	176.44
65.0	4329.23	3909.54	4706.43	198.08
70.0	4346.95	4011.73	4787.03	214.36
75.0	4369.7	3980.33	4711.98	189.37
80.0	4352.57	4033.68	4657.43	185.54
85.0	4329.55	3892.18	4588.63	184.05
90.0	4356.27	3985.86	4819.38	223.45
95.0	4336.96	4099.55	4681.2	172.68
100.0	4386.58	3850.76	4880.58	211.09
105.0	4401.67	3939.03	4934.14	231.82
110.0	4369.67	4164.3	4668.62	119.27
115.0	4373.31	4047.87	4800.7	220.95
120.0	4347.22	4008.98	4624.63	176.44
125.0	4342.16	3724.92	4716.48	240.73
130.0	4352.97	3845.8	4665.95	213.56
135.0	4401.91	4098.85	4810.11	211.82
140.0	4350.47	3878.57	4577.1	167.03
145.0	4345.52	3979.59	4826.5	214.56
150.0	4355.19	4008.48	4869.66	199.45
155.0	4385.17	4111.96	4643.03	159.42
160.0	4353.57	4060.38	4656.78	160.26
165.0	4393.85	3901.65	4908.99	241.17
170.0	4329.34	4072.56	4615.99	149.56
175.0	4377.03	3996.41	4738.8	206.33
180.0	4351.75	3955.39	4663.66	162.56
185.0	4349.96	4088.73	4557.06	130.13
190.0	4383.03	4074.21	4669.48	188.94
195.0	4378.88	3847.93	4739.78	242.9
200.0	4391.17	4163.6	4631.59	140.39
205.0	4331.17	3961.63	4776.49	207.71
210.0	4332.97	3962.81	4713.15	187.8
215.0	4325.29	3877.71	4794.05	222.82
220.0	4337.19	4141.93	4660.43	134.35
225.0	4340.24	4078.81	4667.7	160.18
230.0	4354.34	3812.7	4654.78	197.79
235.0	4348.1	3921.44	4693.59	206.11
240.0	4317.0	4073.62	4611.11	159.11
245.0	4337.72	4029.55	4704.16	187.19
250.0	4333.36	4079.16	4741.19	200.95
255.0	4363.0	4030.45	4761.82	190.67
260.0	4357.25	3938.45	4616.83	173.34
265.0	4336.56	3952.93	4684.51	181.5
270.0	4370.13	3851.61	4682.77	231.52
275.0	4341.51	3982.66	4670.22	190.74
280.0	4325.86	4051.09	4671.64	170.7
285.0	4260.29	3923.06	4533.04	142.95
290.0	4285.5	3952.63	4595.26	150.33
295.0	4359.51	4077.12	4650.72	161.91
300.0	4291.86	3937.34	4778.12	189.87
