rtt	avg	min	max	stddev
10.0	2635.3	2598.07	2705.7	61.0
15.0	2577.4	2495.14	2663.64	84.32
20.0	2605.04	2557.01	2636.78	42.31
25.0	2598.9	2546.55	2652.7	53.09
30.0	2580.59	2555.1	2598.62	22.7
35.0	2631.82	2569.03	2668.97	54.68
40.0	2651.9	2555.88	2718.84	85.28
45.0	2603.4	2567.23	2645.93	39.73
50.0	2598.99	2549.1	2649.02	49.96
55.0	2551.48	2488.76	2586.3	54.42
60.0	2592.5	2563.95	2619.21	27.68
65.0	2597.46	2551.35	2673.15	66.07
70.0	2582.12	2444.05	2658.77	119.82
75.0	2579.74	2497.44	2702.48	108.34
80.0	2593.83	2579.3	2616.48	19.88
85.0	2567.5	2465.87	2678.72	106.75
90.0	2632.71	2565.14	2700.17	67.52
95.0	2569.5	2535.52	2590.11	29.65
100.0	2636.71	2561.38	2679.38	65.43
105.0	2580.47	2529.2	2676.76	83.45
110.0	2620.86	2557.3	2658.49	55.35
115.0	2611.77	2503.92	2811.48	173.14
120.0	2638.61	2581.07	2690.65	55.0
125.0	2561.97	2496.21	2645.35	76.12
130.0	2603.36	2520.27	2645.02	71.96
135.0	2564.86	2541.76	2607.18	36.7
140.0	2585.68	2490.43	2635.89	82.53
145.0	2571.32	2550.51	2584.65	18.26
150.0	2544.79	2467.48	2650.46	94.73
155.0	2572.64	2548.26	2594.13	23.07
160.0	2550.25	2427.44	2650.0	113.06
165.0	2587.57	2523.99	2709.68	105.78
170.0	2560.74	2476.06	2655.76	90.29
175.0	2552.74	2503.23	2627.45	65.83
180.0	2557.81	2475.01	2649.96	87.85
185.0	2598.64	2479.92	2665.08	103.06
190.0	2555.89	2538.82	2575.73	18.61
195.0	2548.75	2508.14	2596.62	44.68
200.0	2521.59	2502.76	2535.9	17.03
205.0	2558.14	2545.41	2565.38	11.06
210.0	2552.21	2430.98	2690.49	130.59
215.0	2520.6	2500.46	2539.3	19.46
220.0	2507.2	2404.96	2669.16	141.87
225.0	2580.43	2523.98	2644.34	60.53
230.0	2590.55	2523.75	2701.63	96.85
235.0	2590.14	2521.75	2650.5	64.75
240.0	2529.24	2497.13	2561.38	32.13
245.0	2571.14	2454.32	2687.2	116.44
250.0	2558.7	2460.38	2664.59	102.32
255.0	2524.06	2447.56	2579.26	68.38
260.0	2554.71	2440.17	2628.44	100.55
265.0	2564.41	2492.04	2626.44	67.79
270.0	2547.94	2491.74	2628.79	71.77
275.0	2569.57	2495.19	2697.47	111.26
280.0	2519.85	2455.86	2609.74	80.14
285.0	2570.43	2510.25	2682.33	97.0
290.0	2532.17	2462.8	2576.39	60.83
295.0	2555.11	2503.38	2625.47	63.14
300.0	2525.57	2514.39	2546.64	18.26
