rtt	avg	min	max	stddev
10.0	2750.48	2657.21	2918.19	78.0
15.0	2752.85	2618.31	2901.18	90.61
20.0	2746.18	2595.17	2913.39	94.71
25.0	2777.69	2631.87	3065.06	114.71
30.0	2761.08	2466.33	2899.81	132.95
35.0	2719.6	2576.77	2870.98	87.13
40.0	2764.99	2602.51	2904.28	97.04
45.0	2743.64	2557.68	2911.52	90.53
50.0	2767.56	2551.79	2889.56	115.83
55.0	2758.24	2610.64	3023.88	114.4
60.0	2785.49	2636.47	2922.57	103.45
65.0	2744.47	2613.36	2922.99	97.81
70.0	2765.92	2533.41	2940.0	108.47
75.0	2774.36	2627.97	3029.09	124.21
80.0	2766.16	2574.22	2987.24	115.52
85.0	2772.88	2650.5	2909.68	83.29
90.0	2748.88	2627.72	2883.4	60.81
95.0	2768.16	2671.38	2892.56	77.34
100.0	2762.74	2624.3	2942.44	84.07
105.0	2755.89	2529.89	2968.6	119.93
110.0	2754.0	2586.76	2965.66	82.78
115.0	2763.99	2566.69	2938.18	98.22
120.0	2759.62	2553.06	2904.1	94.54
125.0	2752.74	2620.72	2886.89	79.15
130.0	2744.3	2609.43	2954.72	95.7
135.0	2744.44	2542.16	2875.55	85.55
140.0	2744.08	2633.56	2831.42	56.04
145.0	2751.25	2655.63	2881.11	61.93
150.0	2764.61	2605.41	2908.24	74.01
155.0	2766.98	2617.23	2990.68	90.26
160.0	2764.13	2604.76	2990.75	112.7
165.0	2760.59	2605.58	2897.23	69.39
170.0	2765.8	2588.59	2892.29	98.41
175.0	2763.46	2570.88	2891.62	100.06
180.0	2770.8	2634.48	2969.94	92.46
185.0	2776.8	2678.76	3046.86	96.55
190.0	2767.72	2580.96	2889.36	94.95
195.0	2769.78	2684.89	2921.43	68.56
200.0	2764.68	2660.65	2860.86	66.47
205.0	2762.77	2603.71	2907.32	85.33
210.0	2770.64	2658.78	2886.63	76.69
215.0	2757.9	2649.86	2885.33	82.48
220.0	2777.74	2637.76	2909.64	73.4
225.0	2763.33	2658.69	2990.6	93.5
230.0	2789.85	2661.06	2976.44	84.36
235.0	2755.86	2665.76	2837.94	58.49
240.0	2780.85	2673.37	2951.83	63.91
245.0	2769.82	2624.61	2863.76	53.5
250.0	2772.85	2646.08	2833.43	62.67
255.0	2771.19	2690.98	2881.89	50.5
260.0	2767.1	2686.79	2894.6	66.96
265.0	2760.57	2685.74	2860.62	53.17
270.0	2771.79	2612.58	2852.03	63.57
275.0	2775.58	2604.44	2884.11	73.71
280.0	2778.66	2692.92	3045.42	89.1
285.0	2791.12	2626.57	2985.18	80.09
290.0	2772.7	2676.89	2849.77	45.83
295.0	2772.44	2659.37	2904.32	68.98
300.0	2787.22	2667.68	2949.45	77.49
