rtt	avg	min	max	stddev
10.0	2679.34	2575.93	2815.8	90.65
15.0	2666.45	2599.73	2751.2	56.58
20.0	2659.06	2621.37	2723.47	41.48
25.0	2692.52	2540.11	2791.05	100.43
30.0	2689.0	2595.35	2738.94	61.97
35.0	2689.98	2574.64	2770.54	73.82
40.0	2663.3	2538.57	2740.52	79.65
45.0	2664.48	2594.21	2737.12	65.4
50.0	2709.12	2624.22	2755.52	52.61
55.0	2655.68	2542.58	2766.13	79.86
60.0	2674.9	2644.19	2688.2	18.1
65.0	2618.72	2538.47	2692.37	61.41
70.0	2716.82	2659.42	2867.82	86.45
75.0	2620.1	2550.31	2688.35	52.13
80.0	2699.92	2650.9	2748.84	37.99
85.0	2689.67	2608.16	2817.81	82.98
90.0	2649.1	2530.06	2721.33	77.99
95.0	2683.36	2579.43	2787.54	83.86
100.0	2655.12	2584.6	2796.02	82.93
105.0	2684.85	2525.52	2843.77	127.67
110.0	2712.31	2624.58	2859.35	88.49
115.0	2647.13	2514.32	2752.41	102.34
120.0	2697.58	2615.19	2778.7	62.88
125.0	2694.97	2554.2	2810.9	101.01
130.0	2646.86	2520.33	2737.69	79.39
135.0	2710.56	2590.16	2843.53	93.06
140.0	2707.33	2636.02	2818.95	72.77
145.0	2702.93	2544.97	2809.92	111.06
150.0	2636.71	2600.71	2671.22	27.16
155.0	2714.31	2680.41	2741.07	21.91
160.0	2712.98	2667.38	2761.27	42.06
165.0	2686.89	2533.46	2783.6	107.85
170.0	2659.73	2604.61	2725.02	51.05
175.0	2757.66	2687.14	2875.6	75.51
180.0	2757.64	2674.54	3021.14	148.3
185.0	2672.25	2601.71	2705.48	41.46
190.0	2712.65	2572.55	2817.74	90.49
195.0	2731.89	2634.79	2854.07	82.17
200.0	2699.55	2647.47	2812.77	69.59
205.0	2700.68	2620.39	2804.48	74.9
210.0	2727.62	2604.64	3021.93	169.78
215.0	2712.77	2589.41	2825.17	107.51
220.0	2693.37	2621.26	2734.93	49.65
225.0	2660.89	2569.13	2773.77	87.43
230.0	2736.95	2671.22	2828.24	67.91
235.0	2747.49	2662.02	2920.36	102.2
240.0	2756.87	2576.08	2934.22	142.99
245.0	2659.5	2587.29	2734.58	53.27
250.0	2674.73	2562.62	2784.15	88.2
255.0	2690.72	2578.76	2794.46	82.82
260.0	2629.55	2471.74	2828.04	136.48
265.0	2761.23	2697.15	2871.19	66.7
270.0	2704.49	2597.74	2805.21	81.14
275.0	2822.28	2658.33	3011.47	139.94
280.0	2706.96	2595.9	2852.32	121.12
285.0	2706.5	2596.56	2857.28	115.54
290.0	2716.82	2658.24	2771.1	43.89
295.0	2692.38	2619.69	2776.16	66.47
300.0	2743.84	2581.24	2921.85	145.68
