rtt	avg	min	max	stddev
10.0	2181.22	2180.07	2182.11	0.74
15.0	2180.89	2180.2	2181.68	0.56
20.0	2182.51	2180.85	2183.84	1.26
25.0	2181.86	2180.62	2183.64	1.1
30.0	2181.27	2180.3	2182.76	1.02
35.0	2181.6	2180.89	2182.57	0.68
40.0	2183.61	2182.03	2185.18	1.13
45.0	2182.96	2181.37	2186.69	2.13
50.0	2182.55	2181.45	2183.74	1.0
55.0	2184.11	2182.63	2185.42	1.31
60.0	2181.93	2179.63	2183.21	1.53
65.0	2182.14	2181.53	2182.67	0.55
70.0	2184.51	2181.94	2186.54	1.72
75.0	2180.65	2179.74	2182.56	1.11
80.0	2180.64	2179.24	2181.68	1.01
85.0	2184.82	2182.68	2186.39	1.47
90.0	2181.4	2180.31	2182.46	0.93
95.0	2182.94	2179.08	2189.28	3.97
100.0	2182.92	2181.06	2185.88	2.26
105.0	2182.0	2180.76	2184.46	1.51
110.0	2180.24	2178.71	2181.24	0.93
115.0	2181.33	2179.18	2183.66	1.71
120.0	2183.77	2180.74	2185.92	1.88
125.0	2181.2	2180.25	2182.13	0.73
130.0	2180.72	2179.51	2182.79	1.33
135.0	2180.0	2179.0	2180.92	0.77
140.0	2180.95	2179.87	2182.32	0.94
145.0	2180.54	2178.42	2183.76	2.08
150.0	2180.9	2179.8	2181.7	0.73
155.0	2178.92	2178.23	2179.57	0.64
160.0	2183.68	2179.22	2187.04	3.23
165.0	2181.44	2180.57	2183.23	1.09
170.0	2181.46	2180.36	2182.72	0.86
175.0	2180.51	2178.22	2182.49	1.73
180.0	2182.88	2181.17	2185.39	1.76
185.0	2181.08	2178.85	2182.14	1.32
190.0	2180.78	2180.11	2182.29	0.87
195.0	2179.72	2178.34	2180.85	1.05
200.0	2180.51	2179.28	2182.14	1.05
205.0	2181.16	2180.62	2182.09	0.58
210.0	2182.05	2180.39	2183.45	1.32
215.0	2184.08	2179.44	2188.17	3.12
220.0	2178.62	2177.95	2179.65	0.68
225.0	2180.63	2178.55	2182.55	1.55
230.0	2178.8	2178.02	2180.48	1.05
235.0	2179.46	2178.65	2180.68	0.74
240.0	2180.89	2178.75	2182.44	1.39
245.0	2180.24	2178.63	2182.44	1.45
250.0	2180.21	2178.21	2182.52	1.73
255.0	2182.04	2179.51	2184.96	2.67
260.0	2181.2	2178.61	2182.18	1.53
265.0	2179.84	2178.38	2181.01	0.99
270.0	2180.99	2178.41	2185.53	3.37
275.0	2178.67	2178.44	2178.93	0.21
280.0	2182.42	2179.28	2185.98	2.51
285.0	2180.33	2178.55	2183.17	1.99
290.0	2180.43	2178.65	2183.94	2.15
295.0	2178.9	2178.63	2179.16	0.24
300.0	2180.6	2178.78	2181.92	1.23
