rtt	avg	min	max	stddev
10.0	4277.76	3714.97	4665.61	224.47
15.0	4269.15	3886.61	4629.43	198.26
20.0	4279.01	3936.52	4480.78	156.72
25.0	4227.97	4053.83	4393.89	99.53
30.0	4260.01	3954.72	4465.36	146.96
35.0	4262.63	4020.98	4491.98	131.4
40.0	4259.98	4018.23	4486.23	128.29
45.0	4263.5	3965.24	4552.35	152.2
50.0	4264.88	4013.25	4412.72	103.84
55.0	4283.69	3959.79	4586.43	167.1
60.0	4290.62	4084.03	4531.78	135.02
65.0	4254.84	3883.94	4606.46	177.2
70.0	4273.74	3955.48	4611.11	146.84
75.0	4263.65	4071.89	4485.55	114.52
80.0	4278.43	4020.75	4576.91	142.72
85.0	4266.92	4035.28	4563.57	146.88
90.0	4285.58	4011.94	4560.02	138.79
95.0	4283.35	4072.1	4390.31	82.94
100.0	4268.51	4025.28	4509.29	104.5
105.0	4282.99	3963.12	4535.79	155.13
110.0	4289.05	4071.09	4556.13	133.1
115.0	4276.94	4032.44	4525.3	124.87
120.0	4262.57	3769.7	4529.42	168.93
125.0	4303.43	4084.89	4537.57	100.62
130.0	4281.86	4020.1	4645.84	151.41
135.0	4270.16	4057.79	4455.34	105.98
140.0	4307.56	4108.91	4692.84	144.19
145.0	4286.21	4040.34	4542.98	168.21
150.0	4276.17	3926.76	4472.95	133.62
155.0	4280.67	4092.68	4483.37	115.09
160.0	4313.19	4018.59	4587.22	147.53
165.0	4311.05	3921.4	4512.19	175.15
170.0	4285.44	4000.76	4761.31	163.99
175.0	4289.88	4053.58	4492.5	107.38
180.0	4254.86	4144.48	4466.42	95.25
185.0	4309.89	4015.22	4614.03	150.1
190.0	4291.89	4057.76	4599.61	140.77
195.0	4259.63	4007.27	4548.52	151.27
200.0	4314.05	4015.89	4651.52	191.85
205.0	4326.96	3923.01	4581.68	174.11
210.0	4333.77	4028.66	4693.28	177.36
215.0	4319.27	4034.97	4734.51	173.84
220.0	4303.26	4037.15	4638.68	148.3
225.0	4332.65	4054.13	4650.15	142.76
230.0	4323.82	3910.96	4636.47	172.69
235.0	4328.02	3941.84	4808.2	193.97
240.0	4303.67	3913.73	4695.76	160.9
245.0	4285.65	3904.13	4553.51	167.77
250.0	4285.06	3887.52	4516.49	156.78
255.0	4291.15	3839.17	4630.89	202.22
260.0	4320.9	3990.84	4777.38	200.26
265.0	4313.34	4050.28	4595.14	150.14
270.0	4341.67	3970.93	4762.55	193.14
275.0	4317.65	3898.88	4637.79	191.55
280.0	4313.15	4010.87	4581.2	161.82
285.0	4329.46	4097.0	4648.33	155.63
290.0	4302.24	3860.04	4649.26	206.76
295.0	4306.08	3961.37	4681.92	187.83
300.0	4329.84	3958.97	4645.2	179.86
