rtt	avg	min	max	stddev
10.0	2645.21	2627.88	2653.94	15.01
15.0	2577.93	2518.64	2655.53	70.26
20.0	2598.21	2576.78	2615.09	19.55
25.0	2683.68	2671.59	2706.26	19.57
30.0	2600.07	2529.92	2696.63	86.43
35.0	2638.91	2602.27	2667.34	33.3
40.0	2585.81	2570.08	2594.69	13.66
45.0	2638.17	2593.78	2662.64	38.51
50.0	2580.01	2481.41	2675.19	96.94
55.0	2620.61	2579.44	2702.9	71.27
60.0	2639.56	2551.63	2699.75	77.86
65.0	2596.44	2565.23	2654.38	50.22
70.0	2603.09	2529.05	2680.78	75.93
75.0	2628.6	2495.41	2703.79	115.66
80.0	2634.21	2595.85	2660.43	33.96
85.0	2609.42	2519.64	2678.64	81.47
90.0	2652.51	2552.64	2753.78	100.58
95.0	2619.98	2562.08	2716.54	84.18
100.0	2650.04	2610.45	2674.73	34.63
105.0	2634.99	2601.49	2671.57	35.14
110.0	2618.88	2529.7	2716.7	93.8
115.0	2593.97	2583.03	2612.67	16.27
120.0	2612.79	2542.67	2662.17	62.39
125.0	2604.04	2595.77	2615.19	10.02
130.0	2618.19	2571.69	2667.77	48.11
135.0	2627.49	2531.66	2679.72	83.1
140.0	2592.01	2568.7	2606.61	20.4
145.0	2631.54	2626.47	2636.08	4.83
150.0	2559.74	2511.6	2641.07	70.83
155.0	2652.31	2563.11	2725.64	82.42
160.0	2614.19	2585.52	2665.82	44.8
165.0	2585.37	2466.54	2727.11	131.79
170.0	2653.99	2607.88	2704.51	48.47
175.0	2577.48	2508.48	2702.6	108.55
180.0	2615.17	2553.59	2662.93	55.96
185.0	2619.75	2559.99	2716.79	84.79
190.0	2647.14	2547.45	2827.26	156.28
195.0	2608.39	2517.27	2763.78	135.24
200.0	2608.84	2588.75	2638.14	25.95
205.0	2622.72	2604.88	2651.81	25.41
210.0	2608.78	2583.71	2634.77	25.54
215.0	2647.48	2574.79	2759.77	98.64
220.0	2557.92	2483.13	2652.56	86.44
225.0	2677.22	2533.25	2856.61	164.56
230.0	2667.22	2607.63	2720.42	56.67
235.0	2645.03	2580.12	2691.95	58.05
240.0	2622.57	2514.2	2679.29	93.89
245.0	2682.12	2566.46	2745.44	100.32
250.0	2712.45	2640.36	2793.59	77.01
255.0	2646.62	2565.23	2702.93	72.2
260.0	2588.07	2516.48	2635.03	63.0
265.0	2618.63	2577.11	2649.88	37.45
270.0	2663.06	2519.52	2817.63	149.36
275.0	2615.65	2539.84	2752.16	118.46
280.0	2631.94	2561.18	2721.95	82.09
285.0	2643.33	2608.42	2668.68	31.25
290.0	2618.55	2542.24	2728.02	97.23
295.0	2671.32	2582.67	2773.93	96.39
300.0	2642.69	2627.89	2662.37	17.75
