rtt	avg	min	max	stddev
10.0	4789.01	4595.66	4995.87	165.85
15.0	4768.66	4654.39	4892.36	98.34
20.0	4832.02	4534.41	4968.74	177.35
25.0	4721.79	4523.84	4954.2	167.29
30.0	4842.4	4723.86	4957.07	104.7
35.0	4704.03	4593.45	4956.82	150.09
40.0	4866.78	4721.19	5020.16	109.44
45.0	4730.22	4516.38	4878.7	163.48
50.0	4697.7	4459.19	4935.75	201.58
55.0	4751.51	4570.57	4924.25	140.95
60.0	4652.73	4501.83	4844.26	124.12
65.0	4728.1	4656.36	4880.92	91.22
70.0	4659.44	4447.81	4934.1	174.48
75.0	4764.83	4494.65	5111.32	240.67
80.0	4811.32	4685.95	4918.31	112.52
85.0	4714.9	4606.53	4883.84	121.24
90.0	4649.82	4561.32	4744.55	75.47
95.0	4687.06	4564.54	4781.75	92.03
100.0	4667.82	4517.87	4810.42	124.73
105.0	4766.25	4649.01	4943.03	116.2
110.0	4751.15	4610.74	4978.01	161.21
115.0	4842.87	4611.77	4988.87	143.97
120.0	4712.47	4571.46	4987.56	162.08
125.0	4717.83	4648.53	4804.47	63.38
130.0	4795.56	4611.87	4932.48	133.41
135.0	4852.31	4557.56	5028.06	192.05
140.0	4642.7	4419.59	4799.42	157.93
145.0	4722.76	4497.04	4923.33	171.59
150.0	4799.38	4435.69	5196.48	313.2
155.0	4818.08	4677.89	4997.19	124.5
160.0	4708.16	4411.65	4901.38	186.3
165.0	4703.1	4467.44	4891.25	202.61
170.0	4694.17	4491.1	4861.9	175.03
175.0	4683.78	4524.75	4855.48	120.53
180.0	4699.46	4411.38	4812.87	164.07
185.0	4678.12	4444.73	4853.18	197.49
190.0	4831.55	4634.38	4979.96	135.66
195.0	4691.65	4475.91	4856.55	154.39
200.0	4816.31	4429.46	5175.61	284.06
205.0	4837.77	4610.68	5135.67	213.1
210.0	4835.7	4553.36	5111.38	223.75
215.0	4780.06	4486.48	5033.15	223.93
220.0	4712.01	4181.94	5123.92	385.83
225.0	4801.17	4363.24	5349.36	370.46
230.0	4754.68	4489.47	5079.57	235.59
235.0	4710.76	4413.37	5192.1	319.15
240.0	4880.14	4477.38	5220.83	267.14
245.0	4705.62	4330.34	5042.48	323.98
250.0	4810.28	4369.35	5188.25	291.52
255.0	4677.52	4318.29	5035.69	282.17
260.0	4650.1	4252.72	5162.19	346.38
265.0	4916.62	4401.32	5221.87	333.37
270.0	4608.74	4288.36	4893.86	230.49
275.0	4824.71	4536.09	5128.14	251.44
280.0	4789.76	4260.98	5151.5	440.68
285.0	4728.98	4130.67	5020.31	371.1
290.0	4698.26	4211.09	5213.61	408.77
295.0	4711.01	4138.57	5004.9	346.98
300.0	4844.46	4625.45	5209.06	237.52
