rtt	avg	min	max	stddev
10.0	2780.46	2670.28	2946.84	113.93
15.0	2775.54	2699.64	2834.54	64.56
20.0	2790.61	2727.61	2821.86	36.53
25.0	2738.34	2593.62	2923.89	120.46
30.0	2764.3	2635.89	2941.42	126.84
35.0	2848.74	2704.58	2978.11	98.64
40.0	2748.94	2613.92	2969.84	132.29
45.0	2796.33	2725.04	2905.57	67.49
50.0	2742.77	2657.89	2837.61	64.77
55.0	2747.51	2660.82	2787.89	50.18
60.0	2692.55	2636.68	2796.67	65.25
65.0	2803.58	2760.27	2880.29	45.96
70.0	2732.59	2688.41	2846.67	66.06
75.0	2715.38	2607.18	2870.64	101.03
80.0	2732.69	2678.84	2805.67	49.46
85.0	2709.22	2571.96	2810.83	87.21
90.0	2786.66	2732.24	2926.7	79.57
95.0	2736.81	2624.29	2847.98	82.48
100.0	2758.37	2630.98	2857.89	97.55
105.0	2774.69	2681.05	2850.55	80.29
110.0	2761.97	2700.08	2844.27	71.3
115.0	2751.47	2588.73	2921.15	118.17
120.0	2774.31	2679.94	2908.0	96.01
125.0	2770.74	2712.18	2879.82	68.11
130.0	2800.69	2720.49	2895.41	72.39
135.0	2810.11	2642.36	3051.62	150.92
140.0	2801.15	2755.64	2844.18	40.34
145.0	2790.33	2745.59	2897.93	65.07
150.0	2739.58	2627.75	2815.85	79.36
155.0	2745.46	2600.55	2813.0	83.66
160.0	2747.12	2655.57	2812.27	65.56
165.0	2759.29	2659.65	2900.25	91.35
170.0	2754.55	2674.8	2901.89	91.92
175.0	2734.47	2681.21	2796.45	46.28
180.0	2746.59	2720.43	2767.92	20.2
185.0	2733.07	2662.45	2830.76	69.24
190.0	2757.32	2698.64	2798.37	41.93
195.0	2752.68	2645.5	2809.83	63.25
200.0	2766.9	2673.53	2868.47	72.35
205.0	2763.67	2687.62	2857.54	73.97
210.0	2736.77	2647.75	2837.8	68.97
215.0	2768.95	2685.6	2842.89	67.72
220.0	2730.08	2651.83	2837.07	67.59
225.0	2778.56	2706.86	2818.1	42.44
230.0	2699.71	2624.48	2733.14	44.16
235.0	2788.45	2721.08	2840.43	47.14
240.0	2735.32	2684.48	2836.55	65.67
245.0	2753.24	2654.93	2859.74	80.69
250.0	2753.79	2683.81	2846.01	62.62
255.0	2778.47	2685.2	2875.72	71.85
260.0	2789.9	2594.47	2900.45	118.67
265.0	2791.49	2642.82	2896.62	108.08
270.0	2769.51	2699.23	2877.79	70.1
275.0	2763.5	2727.97	2793.72	31.72
280.0	2744.55	2679.3	2818.04	54.0
285.0	2743.42	2648.13	2800.05	62.18
290.0	2780.78	2613.3	3043.65	163.24
295.0	2801.34	2730.42	2876.21	60.56
300.0	2765.75	2660.77	2910.39	103.21
